episode,laser_start,laser_duration,group_num,flare_times,flare_begin_release_time,group_interval,miss_distance,success,episode_duration,missile_to_flare_distance
1,0,0,1,[0.0],0,0.6,0,0,27.6,[10000.12]
2,0,0,1,[0.6],0.6,0.6,0.01,0,27.6,[9694.86]
3,0,0,1,[1.2],1.2,0.6,0.02,0,27.6,[9386.06]
4,0,0,1,[1.8],1.8,0.6,0.03,0,27.6,[9077.51]
5,0,0,1,[2.4],2.4,0.6,0.03,0,27.6,[8771.88]
6,0,0,1,[3.0],3,0.6,0,0,27.6,[8470.99]
7,0,0,1,[3.6],3.6,0.6,0,0,27.6,[8176.06]
8,0,0,1,[4.2],4.2,0.6,0,0,27.6,[7887.82]
9,0,0,1,[4.8],4.8,0.6,0,0,27.6,[7606.66]
10,0,0,1,[5.4],5.4,0.6,0,0,27.6,[7332.76]
11,0,0,1,[6.0],6,0.6,0,0,27.6,[7066.09]
12,0,0,1,[6.6],6.6,0.6,0,0,27.6,[6806.52]
13,0,0,1,[7.2],7.2,0.6,0,0,27.6,[6553.83]
14,0,0,1,[7.8],7.8,0.6,0,0,27.6,[6307.74]
15,0,0,1,[8.4],8.4,0.6,0,0,27.7,[6067.94]
16,0,0,1,[9.0],9,0.6,0.01,0,27.7,[5834.11]
17,0,0,1,[9.6],9.6,0.6,0.01,0,27.7,[5605.89]
18,0,0,1,[10.2],10.2,0.6,0.02,0,27.7,[5382.96]
19,0,0,1,[10.8],10.8,0.6,0.03,0,27.7,[5164.97]
20,0,0,1,[11.4],11.4,0.6,0,0,27.7,[4951.59]
21,0,0,1,[12.0],12,0.6,0,0,27.7,[4742.52]
22,0,0,1,[12.6],12.6,0.6,0,0,27.7,[4537.44]
23,0,0,1,[13.2],13.2,0.6,0,0,27.8,[4336.06]
24,0,0,1,[13.8],13.8,0.6,0.01,0,27.8,[4138.1]
25,0,0,1,[14.4],14.4,0.6,0.03,0,27.8,[3943.3]
26,0,0,1,[15.0],15,0.6,0,0,27.8,[3751.4]
27,0,0,1,[15.6],15.6,0.6,0.01,0,27.9,[3562.15]
28,0,0,1,[16.2],16.2,0.6,0,0,27.9,[3375.33]
29,0,0,1,[16.8],16.8,0.6,0.01,0,28,[3190.72]
30,0,0,1,[17.4],17.4,0.6,0,0,28,[3008.09]
31,0,0,1,[18.0],18,0.6,0.03,0,28.1,[2827.24]
32,0,0,1,[18.6],18.6,0.6,0.04,0,28.1,[2647.96]
33,0,0,1,[19.2],19.2,0.6,0.01,0,28.2,[2470.06]
34,0,0,1,[19.8],19.8,0.6,0.01,0,28.1,[2293.35]
35,0,0,1,[20.4],20.4,0.6,0.02,0,28.2,[2117.62]
36,0,0,1,[21.0],21,0.6,0.01,0,28.2,[1942.68]
37,0,0,1,[21.6],21.6,0.6,0.01,0,28.3,[1768.34]
38,0,0,1,[22.2],22.2,0.6,0,0,28.3,[1594.39]
39,0,0,1,[22.8],22.8,0.6,0.01,0,28.4,[1420.58]
40,0,0,1,[23.4],23.4,0.6,0.03,0,28.6,[1246.56]
41,0,0,1,[24.0],24,0.6,2.67,0,28.9,[1071.98]
42,0,0,1,[24.6],24.6,0.6,0,0,30,[896.48]
43,0,0,1,[25.2],25.2,0.6,164.16,1,29.4,[719.62]
44,0,0,1,[25.8],25.8,0.6,115.08,1,29.4,[540.96]
45,0,0,1,[26.4],26.4,0.6,58.1,1,29.4,[359.91]
46,0,0,1,[27.0],27,0.6,10.09,0,27.6,[175.28]
47,0,0,1,[27.6],27.6,0.6,0,0,27.6,[]
48,0,0,1,[28.2],28.2,0.6,0,0,27.6,[]
49,0,0,1,[28.8],28.8,0.6,0,0,27.6,[]
50,0,0,1,[29.4],29.4,0.6,0,0,27.6,[]
51,0,0,1,[30.0],30,0.6,0,0,27.6,[]
