episode,laser_start,laser_duration,group_num,flare_times,flare_begin_release_time,group_interval,miss_distance,success,episode_duration,missile_to_flare_distance
1,0,0,2,"[0.0, 0.6]",0,0.6,0,0,27.5,"[10000.12, 9689.76]"
2,0,0,2,"[0.6, 1.2]",0.6,0.6,0.01,0,27.6,"[9694.86, 9382.08]"
3,0,0,2,"[1.2, 1.8]",1.2,0.6,0.02,0,27.6,"[9386.06, 9074.37]"
4,0,0,2,"[1.8, 2.4]",1.8,0.6,0.02,0,27.6,"[9077.51, 8769.16]"
5,0,0,2,"[2.4, 3.0]",2.4,0.6,0.03,0,27.6,"[8771.88, 8468.6]"
6,0,0,2,"[3.0, 3.6]",3,0.6,0,0,27.6,"[8470.99, 8173.9]"
7,0,0,2,"[3.6, 4.2]",3.6,0.6,0,0,27.6,"[8176.06, 7885.84]"
8,0,0,2,"[4.2, 4.8]",4.2,0.6,0,0,27.6,"[7887.82, 7604.76]"
9,0,0,2,"[4.8, 5.4]",4.8,0.6,0,0,27.6,"[7606.66, 7330.98]"
10,0,0,2,"[5.4, 6.0]",5.4,0.6,0,0,27.6,"[7332.76, 7064.42]"
11,0,0,2,"[6.0, 6.6]",6,0.6,0,0,27.6,"[7066.09, 6804.94]"
12,0,0,2,"[6.6, 7.2]",6.6,0.6,0,0,27.7,"[6806.52, 6552.33]"
13,0,0,2,"[7.2, 7.8]",7.2,0.6,0.01,0,27.7,"[6553.83, 6306.31]"
14,0,0,2,"[7.8, 8.4]",7.8,0.6,0.01,0,27.7,"[6307.74, 6066.58]"
15,0,0,2,"[8.4, 9.0]",8.4,0.6,0.02,0,27.7,"[6067.94, 5832.8]"
16,0,0,2,"[9.0, 9.6]",9,0.6,0.03,0,27.7,"[5834.11, 5604.64]"
17,0,0,2,"[9.6, 10.2]",9.6,0.6,0,0,27.7,"[5605.89, 5381.76]"
18,0,0,2,"[10.2, 10.8]",10.2,0.6,0,0,27.7,"[5382.96, 5163.83]"
19,0,0,2,"[10.8, 11.4]",10.8,0.6,0,0,27.8,"[5164.97, 4950.52]"
20,0,0,2,"[11.4, 12.0]",11.4,0.6,0.01,0,27.8,"[4951.59, 4741.5]"
21,0,0,2,"[12.0, 12.6]",12,0.6,0.03,0,27.8,"[4742.52, 4536.48]"
22,0,0,2,"[12.6, 13.2]",12.6,0.6,0,0,27.8,"[4537.44, 4335.17]"
23,0,0,2,"[13.2, 13.8]",13.2,0.6,0.01,0,27.9,"[4336.06, 4137.27]"
24,0,0,2,"[13.8, 14.4]",13.8,0.6,0.03,0,27.9,"[4138.1, 3942.53]"
25,0,0,2,"[14.4, 15.0]",14.4,0.6,0,0,27.9,"[3943.3, 3750.69]"
26,0,0,2,"[15.0, 15.6]",15,0.6,0,0,28,"[3751.4, 3561.51]"
27,0,0,2,"[15.6, 16.2]",15.6,0.6,0.01,0,28.1,"[3562.15, 3374.91]"
28,0,0,2,"[16.2, 16.8]",16.2,0.6,0,0,28.2,"[3375.33, 3190.5]"
29,0,0,2,"[16.8, 17.4]",16.8,0.6,0,0,28.3,"[3190.72, 3007.99]"
30,0,0,2,"[17.4, 18.0]",17.4,0.6,0,0,28.4,"[3008.09, 2827.27]"
31,0,0,2,"[18.0, 18.6]",18,0.6,0,0,28.6,"[2827.24, 2648.13]"
32,0,0,2,"[18.6, 19.2]",18.6,0.6,0.03,0,28.4,"[2647.96, 2470.37]"
33,0,0,2,"[19.2, 19.8]",19.2,0.6,0,0,28.5,"[2470.06, 2293.81]"
34,0,0,2,"[19.8, 20.4]",19.8,0.6,0.06,0,28.5,"[2293.35, 2118.24]"
35,0,0,2,"[20.4, 21.0]",20.4,0.6,0,0,28.6,"[2117.62, 1943.48]"
36,0,0,2,"[21.0, 21.6]",21,0.6,0,0,28.7,"[1942.68, 1769.32]"
37,0,0,2,"[21.6, 22.2]",21.6,0.6,0,0,28.9,"[1768.34, 1595.57]"
38,0,0,2,"[22.2, 22.8]",22.2,0.6,0.03,0,29.1,"[1594.39, 1421.97]"
39,0,0,2,"[22.8, 23.4]",22.8,0.6,0,0,29.4,"[1420.58, 1248.2]"
40,0,0,2,"[23.4, 24.0]",23.4,0.6,0,0,30.2,"[1246.56, 1073.89]"
41,0,0,2,"[24.0, 24.6]",24,0.6,0.04,0,30.7,"[1071.98, 898.65]"
42,0,0,2,"[24.6, 25.2]",24.6,0.6,206.19,1,29.1,"[896.48, 722.05]"
43,0,0,2,"[25.2, 25.8]",25.2,0.6,150.4,1,29.4,"[719.62, 543.57]"
44,0,0,2,"[25.8, 26.4]",25.8,0.6,86.8,1,29.4,"[540.96, 361.65]"
45,0,0,2,"[26.4, 27.0]",26.4,0.6,30.24,1,29.7,"[359.91, 174.07]"
46,0,0,2,"[27.0, 27.6]",27,0.6,10.09,0,27.6,[175.28]
47,0,0,2,"[27.6, 28.2]",27.6,0.6,0,0,27.6,[]
48,0,0,2,"[28.2, 28.8]",28.2,0.6,0,0,27.6,[]
49,0,0,2,"[28.8, 29.4]",28.8,0.6,0,0,27.6,[]
50,0,0,2,"[29.4, 30.0]",29.4,0.6,0,0,27.6,[]
51,0,0,2,"[30.0, 30.6]",30,0.6,0,0,27.6,[]
